testcases,benchmarks,sim_IPC,clock cycle (ps)
baseline,bzip2,0.1992,100
baseline,hmmer,0.4622,100
baseline,mcf,0.3186,100
baseline,sjeng,0.2684,100
baseline,milc,0.4234,100
baseline,equake,0.2696,100
Dynamic_SS_Datapath#1,bzip2,0.3479,125
Dynamic_SS_Datapath#1,hmmer,0.7207,125
Dynamic_SS_Datapath#1,mcf,0.4808,125
Dynamic_SS_Datapath#1,sjeng,0.5482,125
Dynamic_SS_Datapath#1,milc,0.6270,125
Dynamic_SS_Datapath#1,equake,0.4092,125
Dynamic_SS_Datapath#2,bzip2,0.3981,160
Dynamic_SS_Datapath#2,hmmer,0.8039,160
Dynamic_SS_Datapath#2,mcf,0.5713,160
Dynamic_SS_Datapath#2,sjeng,0.6638,160
Dynamic_SS_Datapath#2,milc,0.8247,160
Dynamic_SS_Datapath#2,equake,0.4764,160
Hw4baseline,bzip2,0.2313,100
Hw4baseline,hmmer,0.4152,100
Hw4baseline,mcf,0.3358,100
Hw4baseline,sjeng,0.3575,100
Hw4baseline,milc,0.3929,100
Hw4baseline,equake,0.2856,100
Static_SS_datapath,bzip2,0.3283,115
Static_SS_datapath,hmmer,0.5443,115
Static_SS_datapath,mcf,0.3851,115
Static_SS_datapath,sjeng,0.4291,115
Static_SS_datapath,milc,0.4553,115
Static_SS_datapath,equake,0.3411,115
